method,path,protocol,status,size,referrer,user_agent,malicious
0,89,1,200,0.02422790136975539,1,535,0
1,89,1,200,0.0004493013731926668,1,535,0
0,89,1,200,0.02422790136975539,1,245,0
1,89,1,200,0.0004493013731926668,1,245,0
0,89,1,200,0.02422790136975539,1,268,0
1,89,1,200,0.0004493013731926668,1,268,0
0,128,1,404,0.0005229573360111368,1,33,1
0,89,1,200,0.02422790136975539,1,344,0
1,89,1,200,0.0004493013731926668,1,344,0
0,89,1,200,0.02422790136975539,1,342,0
1,89,1,200,0.0004493013731926668,1,342,0
0,89,1,200,0.02422790136975539,1,273,0
1,89,1,200,0.0004493013731926668,1,273,0
0,4,1,200,0.010454236322701503,1,26,0
0,25,1,200,0.002764553804453239,3,26,0
0,8,1,200,0.004780271986918701,3,26,0
0,9,1,200,0.006113444913933007,3,26,0
0,7,1,200,0.03824463109411022,5,26,0
0,13,1,200,0.0008863267525822552,4,26,0
0,12,1,200,0.0009329755290339529,4,26,0
0,11,1,200,0.012627087225846366,4,26,0
0,19,1,200,0.0007586564170302407,4,26,0
0,21,1,200,0.0006088892926326851,6,26,0
0,17,1,200,0.0036877085384447294,4,26,0
0,15,1,200,0.000557330118659756,4,26,0
0,18,1,200,0.0007316492306634683,4,26,0
0,24,1,200,0.00621410806311825,5,26,0
0,16,1,200,0.001173585007574288,4,26,0
0,20,1,200,0.0005917029013083754,6,26,0
0,14,1,200,0.0005106813422080585,6,26,0
0,23,1,200,0.0006064340938720694,6,26,0
0,22,1,200,0.0005941581000689911,6,26,0
0,10,1,200,0.0028112025809049366,3,26,0
0,0,1,200,0.025617543868263853,1,26,0
0,114,1,404,0.0005745165099840657,2,26,1
0,91,1,200,0.019373973420018217,2,26,0
0,114,1,404,0.0005745165099840657,9,26,1
0,80,1,200,0.19765577622336414,9,26,0
0,92,1,200,0.01950900935185208,9,26,0
0,114,1,404,0.0005745165099840657,10,26,1
0,81,1,200,0.21445424614349654,10,26,0
0,95,1,200,0.07987743647787006,10,26,0
0,47,1,200,0.036970382937350686,11,26,0
0,100,1,200,0.0028332993697504777,11,26,0
0,114,1,404,0.0005745165099840657,11,26,1
0,102,1,200,0.025983368483595587,11,26,0
0,36,1,200,0.06694590460570736,11,26,0
0,33,1,200,0.0037981924826724343,11,26,0
0,45,1,200,0.012843144716780545,11,26,0
0,37,1,200,0.005725523509755732,11,26,0
0,46,1,200,0.008568643674548671,11,26,0
0,32,1,200,0.007110255610742968,11,26,0
0,38,1,200,0.020424798489561722,11,26,0
0,114,1,404,0.0005745165099840657,11,26,1
0,53,1,200,0.010866709714484935,11,26,0
0,34,1,200,0.0014731192563693992,11,26,0
0,69,1,200,0.013857141804914815,11,26,0
0,66,1,200,0.008715955600185612,11,26,0
